route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
de8a5235-df44-4241-823d-b110e0f26fdc,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"52","Chico Airport Express","Oro-Chico Airport Express",3,DC143C,000000
e8a19258-d84e-4a13-823b-78521baf95cd,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"2","Mangrove","CTC & NVP via Mangrove / Cohasset",3,C71585,000000
e2912325-76f2-4a66-a877-f16b7068bf73,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"4","First / East","CTC & NVP via First / East",3,9ACD32,000000
8815245a-3438-48ae-a19c-7f9154c12720,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"25","Oro Dam","Oro Dam - Downtown",3,1E90FF,000000
5c91d5af-5c6b-43c6-b8e2-233c2e8fe71c,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"7","Bruce / Manzanita","Lassen & Chico Mall via Bruce / Manzanita",3,BC8F8F,000000
1c525842-dcea-48c0-a2f8-31160ce541e5,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"24","Thermalito","Thermalito - County Center",3,228B22,000000
1cdbb73a-9eeb-4a06-b78b-e27d63f0e940,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"20","Chico - Oroville","Chico - Oroville via SR 70/99",3,FF0000,000000
6f7803b8-4ac6-429e-9008-96ae221f52fc,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"32","Gridley - Chico","Gridley - Durham - Chico",3,8B4513,000000
3fb9611e-a50d-4d04-8aa4-c70470e11827,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"41","Magalia - Chico","Magalia - Chico via Skyway",3,4169E1,000000
7667b5f3-1421-4844-88d1-37d2f75842ac,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"9C","Cedar Loop","CTC via Cedar Loop",3,FF8C00,000000
53aa313b-c010-4054-a248-83896fe7200a,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"5","E. 8th Street","CTC & Chico Mall via E. 8th Street",3,CD5C5C,000000
8e1587ca-dace-4d77-8621-4a944f70b5f9,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"15","Esplanade / Lassen","CTC & North Chico via Esplanade / Lassen",3,006400,FFFFFF
26967a7b-d130-4764-8588-67486481993e,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"26","Olive Highway","Olive Highway - Kelly Ridge",3,9370DB,000000
d3fca436-9848-45a0-9041-dc2e870c4b52,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"40","Paradise - Chico","Paradise - Chico via Skyway",3,483D8B,000000
5d6cbf73-cd94-4b81-97b9-37fd65a3191d,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"27","South Oroville","South Oroville - Las Plumas",3,FF1493,000000
6d7b5989-f292-41c7-b7ab-35a17b12563d,97aff62a-ed6d-4bd2-a9c8-d63f8e98a358,"30","Oroville - Biggs","Oroville - Gridley - Biggs",3,FFA500,000000
