shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
dec6b8cc-1354-44f2-becc-49ba70af0cbf,39.8146808036971,-121.601948088524,146,18495.19
00a995e2-737b-4755-ab14-4d39b63a9763,39.5256566718612,-121.571175102662,23,5037.76
09cb0ed0-e47d-416c-8684-561889fc748e,39.7241334452709,-121.817679513555,16,3053.88
0d8c11a9-8a47-4d09-b96e-f363c4bf8e27,39.7277597920752,-121.84234645023,62,8779.62
7eb06e28-39c2-4bd3-b1dd-c1009af1b5d3,39.5041346254429,-121.499439418282,200,19522.54
fcfa48d8-d759-47e3-bd17-3d7937303290,39.7284236388459,-121.843100151008,0,0
05532bca-8de0-477e-ba14-73397276c0f6,39.7184310685653,-121.800852674297,3,452.96
efafb3d4-d49e-4af7-84c5-7fa56050c337,39.8161788175213,-121.598679816644,192,21922.57
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.8202249300614,-121.592703854603,161,35442.57
7eb06e28-39c2-4bd3-b1dd-c1009af1b5d3,39.5036625566281,-121.459726629241,97,10955.34
378658c7-d621-49d3-a536-be3549c73c51,39.4657495299428,-121.537096293992,49,32571.29
bd241136-cf3e-4f9c-861f-c8a5bb9f65bf,39.7322068948869,-121.813905645246,43,36760.11
c26110d2-beda-4efb-b1c8-d1f52fffaace,39.730812146116,-121.84189315688,48,10481.81
a6a96cb4-b761-4e23-b4fe-97a1ef758654,39.7262698248786,-121.789822089065,44,10504.61
a6a96cb4-b761-4e23-b4fe-97a1ef758654,39.761176095079,-121.81031684937,14,3569.66
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.8382949732718,-121.61474893181,208,42918.42
378658c7-d621-49d3-a536-be3549c73c51,39.4125197477651,-121.713371080957,3,343
0d584d8a-89cd-48b1-990d-bbf180a892d5,39.4689292889195,-121.527653576592,34,8269.42
22589d27-2567-49e7-a040-78f5e47951e8,39.7578246747151,-121.843785455453,22,3356.08
7eb06e28-39c2-4bd3-b1dd-c1009af1b5d3,39.4971930680986,-121.545332017263,11,1478.33
c26110d2-beda-4efb-b1c8-d1f52fffaace,39.7537758799658,-121.858489326149,20,5779.62
b0ce437c-cbf7-43e4-a7e5-af00b9d50006,39.7247852221003,-121.816461790589,18,3183.65
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.703929704662,-121.77119816966,47,9106
d6ddc702-4047-4f91-abcd-ad9fe1e400df,39.7698584061777,-121.835237254813,44,8455.22
2ebc22f4-10d9-463a-b188-0793aeca0b1b,39.5008958578644,-121.539452614752,69,39548.4
b0ce437c-cbf7-43e4-a7e5-af00b9d50006,39.8064209405435,-121.579072867577,145,32125.53
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.7625386573397,-121.622131712564,103,24991.26
09cb0ed0-e47d-416c-8684-561889fc748e,39.7017893017405,-121.767268733219,46,9553.4
bd241136-cf3e-4f9c-861f-c8a5bb9f65bf,39.5989051222149,-121.656848887017,31,16633.99
7af1278e-ec92-4d55-b4fd-a0d3190aabb0,39.7750109300024,-121.609722471817,26,6794.44
b0ce437c-cbf7-43e4-a7e5-af00b9d50006,39.8519179136704,-121.604253447309,210,40463.91
d6ddc702-4047-4f91-abcd-ad9fe1e400df,39.773156182358,-121.845302244741,25,6542.07
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.8343279859023,-121.610961652455,221,44020.71
69fc44c8-fcb1-4089-b1ea-0b466b672caa,39.7446925785954,-121.881364547096,16,3870.47
efafb3d4-d49e-4af7-84c5-7fa56050c337,39.718932641681,-121.817962486622,339,54018.03
0e40d707-7e0b-4784-b733-861896224e27,39.7609642005542,-121.834484895139,9,2042.38
efafb3d4-d49e-4af7-84c5-7fa56050c337,39.8119623846985,-121.579103712982,224,25019.97
2ebc22f4-10d9-463a-b188-0793aeca0b1b,39.4669605473852,-121.524974049626,57,35120.4
90dd1f4e-d268-4bbe-a6ad-0e5ef89135a3,39.5304175931464,-121.5681750517,48,37695
a061b7c9-a982-4126-a947-0545122b74f0,39.7141368516765,-121.788577544008,37,6942.01
54a78abd-2c84-4d23-a717-20564082d91f,39.7579333041866,-121.84434603717,27,6598.46
7eb06e28-39c2-4bd3-b1dd-c1009af1b5d3,39.5015489757984,-121.548514458449,6,685.23
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.8155471572606,-121.580651347676,145,33219.78
09cb0ed0-e47d-416c-8684-561889fc748e,39.7228406204486,-121.823211569978,12,2427.95
69fc44c8-fcb1-4089-b1ea-0b466b672caa,39.7616360939524,-121.852583101546,8,767.09
15509f20-68de-4d4e-9b0a-3630902dc958,39.4998752772734,-121.571496967763,1,180.8
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.7651189425659,-121.61801452148,106,25446.6
fe693bb8-ad93-4b61-9adb-c41827a61920,39.4668049792531,-121.526045592192,26,6471.1
90dd1f4e-d268-4bbe-a6ad-0e5ef89135a3,39.5514648885408,-121.597027575793,41,33929.58
d6ddc702-4047-4f91-abcd-ad9fe1e400df,39.7337330719074,-121.842469831852,4,695.74
15509f20-68de-4d4e-9b0a-3630902dc958,39.7164556215081,-121.795285749154,60,37733.9
dec6b8cc-1354-44f2-becc-49ba70af0cbf,39.8125631995537,-121.588393544459,57,6777.77
fcfa48d8-d759-47e3-bd17-3d7937303290,39.5304484385519,-121.568181757223,49,37723.03
