,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT
0,1,2.0,80.0,79.38461538461539,3096,34902.883328371936,599623.6250839493,4398831.9610960875,624097.6260331562,4374563.608841649,Chico,Oroville
1,1,4.0,11.0,14.897435897435898,581,37814.18309959234,599481.4211625252,4399994.718866583,611584.8015167166,4363708.17452712,Chico,Biggs
2,1,5.0,55.0,58.61538461538461,2286,44318.3110692707,599093.8549141221,4400182.561170124,612346.1137317626,4357752.300932692,Chico,Gridley
3,1,6.0,5.0,7.27027027027027,269,60450.19889876668,601596.3974411297,4397622.179554423,643825.0535061134,4356864.687384361,Chico,Bangor
4,1,7.0,4.0,4.675675675675675,173,38406.896705051855,600699.3351550888,4398245.704364577,638500.834923931,4394169.133531205,Chico,Berry Creek
5,1,9.0,2.0,2.4545454545454546,54,44816.13437047046,597816.1745005901,4401476.2633540165,624253.6365501082,4437922.706284192,Chico,Butte Meadows
6,1,10.0,47.0,49.69230769230769,1938,21666.26299631343,599389.0578907081,4399190.371707396,617850.7031230571,4389699.397854111,Chico,Butte Valley
7,1,11.0,1.0,1.24,31,26344.663014397014,601083.7349688758,4398682.056410747,625338.7852052435,4388237.626029626,Chico,Cherokee
8,1,12.0,2.0,6.285714285714286,88,61049.99753402044,601596.6528280784,4396886.255810876,658127.2028417521,4379201.980398966,Chico,Clipper Mills
9,1,13.0,1141.0,1139.179487179487,44428,17419.355694470287,599481.2395831455,4400011.070097019,599964.8817594674,4417423.710421098,Chico,Cohasset
10,1,14.0,4.0,5.282051282051282,206,29388.838624675624,599637.738068671,4399423.779350644,628450.4303084994,4400968.517914932,Chico,Concow
11,1,15.0,149.0,154.33333333333334,6019,9290.800442279029,599791.3665631367,4398388.987416506,602842.7068529733,4390109.401079234,Chico,Durham
12,1,16.0,1.0,1.7777777777777777,16,56914.26976543054,599389.0578907081,4400542.95991807,651084.9072685544,4376069.666164827,Chico,Forbestown
13,1,17.0,9.0,11.102564102564102,433,18708.01683886944,601077.61251396,4400366.405677602,612790.166517474,4414589.123218246,Chico,Forest Ranch
14,1,18.0,2.0,2.75,66,49672.35568702991,600465.0061773452,4399113.379692849,620992.1564062854,4354976.186993864,Chico,Honcut
15,1,19.0,3.0,4.054054054054054,150,39555.904771347385,599623.6250839493,4399750.622614905,631968.3209484215,4376290.426235139,Chico,Kelly Ridge
16,1,21.0,68.0,70.8974358974359,2765,14457.904295283848,598825.706715269,4399253.824651842,584842.6184887273,4400774.492732552,Chico,Nord
17,1,22.0,36.0,37.205128205128204,1451,39891.30587309238,599410.4931762246,4399723.4903704,628704.549764476,4372017.174950275,Chico,Oroville East
18,1,23.0,9.0,9.538461538461538,372,40643.87075252333,599724.6151981247,4398270.134279534,625222.7804442977,4366379.854681126,Chico,Palermo
19,1,24.0,39.0,55.02564102564103,2146,49362.818079096854,599481.4338257202,4399873.36902645,637890.8015403633,4368984.641896559,Chico,Rackerby
20,1,25.0,4.0,5.461538461538462,213,27792.955782914098,600096.4112905862,4398324.958495642,607704.9382867576,4372422.298642933,Chico,Richvale
21,1,26.0,2.0,2.4,60,54791.74297417627,597769.1918652247,4403202.486736121,645323.8131306695,4370135.036351078,Chico,Robinson Mill
22,1,27.0,4.5,5.7105263157894735,217,37817.146447900945,599623.6250839493,4398412.579373382,625456.5638184175,4371032.515301122,Chico,South Oroville
23,1,28.0,1.0,1.1818181818181819,13,32343.2947342596,600924.830007334,4398488.820532396,625811.5561886395,4418764.433831348,Chico,Stirling City
24,1,29.0,44.0,49.15384615384615,1917,29978.17321419944,599508.7042007879,4398603.288427278,613787.0318722568,4373666.655433529,Chico,Thermalito
25,1,30.0,2.0,4.038461538461538,105,28902.22931826763,599008.4950280087,4400698.951856697,625879.5663017533,4394959.530051867,Chico,Yankee Hill
26,1,32.0,36.0,41.92307692307692,1635,20479.87123703183,599481.4084993302,4399876.666396591,619751.7138381619,4402065.781455858,Chico,Paradise
27,1,33.0,13.0,14.820512820512821,578,19926.122121879493,599918.8362215005,4398573.776777977,619419.044156764,4401546.330223845,Chico,Paradise
28,1,34.0,27.0,29.205128205128204,1139,19864.27384142788,599485.8862310137,4399849.119660864,618047.6024235163,4401984.012767961,Chico,Paradise
29,1,35.0,2.0,3.6666666666666665,132,16603.517220363094,602568.0454589722,4398465.358979894,618267.5635196866,4402631.925538076,Chico,Paradise
30,1,36.0,5.0,6.27027027027027,232,17930.841072351093,599846.9129102723,4399294.944027655,617128.5482370463,4402652.981413247,Chico,Paradise
31,1,37.0,8.0,8.794871794871796,343,18405.783296006906,600575.6107094167,4399216.658937944,618647.2068575392,4401555.039594724,Chico,Paradise
32,1,38.0,37.0,39.23076923076923,1530,17230.338060386897,601174.7981762785,4397802.882080847,618078.3375478615,4400664.605547979,Chico,Paradise
33,1,39.0,3.0,3.125,100,15118.760490032873,602062.4127304583,4397917.727828524,617141.1142921906,4400283.983796854,Chico,Paradise
34,1,40.0,6.0,9.421052631578947,358,21902.094596506744,599007.8773393371,4400182.563380201,620966.8358687542,4400422.237830993,Chico,Paradise
35,1,41.0,5.0,5.564102564102564,217,23121.608767057656,599623.6250839493,4398391.681707454,621651.16591096,4406280.545330704,Chico,Paradise
36,1,42.0,5.0,6.435897435897436,251,22274.57954558383,600253.3364956053,4398444.178813062,621967.3594810388,4404443.125899604,Chico,Paradise
37,1,43.0,8.0,7.923076923076923,309,15192.689797873354,600903.3277455389,4398799.60908219,616193.2838913368,4401453.625066007,Chico,Paradise
38,1,44.0,7.0,8.702702702702704,322,22724.33556125543,599242.9225803972,4398292.777597935,621810.4155522283,4400379.091205302,Chico,Paradise
39,1,46.0,13.0,14.76923076923077,576,19082.822258157335,600904.2745622077,4398286.760830985,619914.7757975016,4400653.71891124,Chico,Paradise
40,1,47.0,7.0,8.026315789473685,305,23675.07640217001,598620.9964230093,4400973.793162529,622256.2976300832,4402274.65766233,Chico,Paradise
41,1,48.0,14.0,14.512820512820513,566,19567.77097650374,600819.4430346142,4398776.824165506,619218.6382213652,4403976.598739591,Chico,Paradise
42,1,49.0,4.0,3.6857142857142855,129,20600.554403115733,600924.830007334,4398444.208922952,620380.9951154763,4404940.931803201,Chico,Paradise
43,1,50.0,5.0,5.324324324324325,197,20245.466322559336,599747.9536660279,4398932.27756424,619712.8508425156,4403562.789741987,Chico,Paradise
44,1,51.0,5.0,7.333333333333333,286,17902.20660974128,601393.206047823,4397775.24746508,617972.5326189756,4403437.827577412,Chico,Paradise
45,1,52.0,6.0,6.2631578947368425,238,21066.516847394698,600293.7498977369,4398579.934421035,620654.1162858502,4403507.235068467,Chico,Paradise
46,1,53.0,2.0,2.515151515151515,83,21506.98655837922,601535.4850375112,4397974.623410774,621453.7780186845,4404902.401365173,Chico,Paradise
47,1,54.0,2.0,2.6216216216216215,97,20849.54742210789,600758.6664157822,4399445.272770826,621306.2343506668,4401124.77206012,Chico,Paradise
48,1,55.0,2.0,2.533333333333333,76,20647.18386419085,600944.3329319003,4398253.538777113,621061.7356816506,4402715.305101773,Chico,Paradise
49,1,56.0,7.0,6.794871794871795,265,20560.8747316463,600444.8104288434,4398794.173838867,620784.9277418565,4401386.796573369,Chico,Paradise
50,1,57.0,14.0,16.263157894736842,618,15363.240369320876,600044.4568837918,4397967.0152077675,616067.422608275,4398535.290196405,Chico,Paradise
51,1,60.0,11.0,10.243243243243244,379,23780.052971008663,600637.8866147974,4398379.1762458645,619784.8047281451,4412584.6857100185,Chico,Magalia
52,1,61.0,8.0,9.394736842105264,357,22634.01128172143,600751.0883182699,4398324.623189818,619772.6269912857,4410044.081549907,Chico,Magalia
53,1,62.0,16.0,30.0,1170,23968.039284093855,599481.2395831455,4400011.070097019,620610.8004292755,4411325.157138118,Chico,Magalia
54,1,64.0,4.0,4.368421052631579,166,22439.99036866666,599724.5975105865,4399400.829311653,620316.0497728426,4408675.2631179,Chico,Magalia
55,1,65.0,6.0,8.236842105263158,313,21764.6152441386,599623.6250839493,4398970.709288795,620229.8738167539,4406961.133113327,Chico,Magalia
56,1,67.0,17.0,18.384615384615383,717,23232.13511500965,599554.4994401324,4399277.268722761,619245.6442033998,4411994.059359453,Chico,Magalia
57,1,68.0,6.0,7.743589743589744,302,21038.176496685148,599990.3469775934,4399672.363580237,619705.8125981439,4407250.167547046,Chico,Magalia
58,1,69.0,9.0,9.18421052631579,349,19035.77926519522,600722.2779972062,4398541.442503586,617737.183427444,4408932.143372561,Chico,Magalia
59,1,74.0,2.0,2.303030303030303,76,21025.591039991326,601517.4343626848,4397840.695303875,622456.1549654223,4399464.469496468,Chico,Paradise
60,1,76.0,12.0,12.564102564102564,490,15537.513859728451,600709.5517695434,4398454.640660764,616460.7574182313,4400561.021318259,Chico,Paradise
61,2,1.0,85.0,81.28205128205128,3170,34960.762571779014,624097.625855193,4374616.804559112,599623.6250839493,4399031.840204826,Oroville,Chico
62,2,4.0,4.0,4.157894736842105,158,15591.85137392115,623765.0850076098,4373602.48326768,612033.9094045833,4363424.364867732,Oroville,Biggs
63,2,5.0,11.0,11.526315789473685,438,19968.398173065107,623912.0310918305,4373635.882677357,612717.2439803565,4357678.184452883,Oroville,Gridley
64,2,6.0,3.0,2.8285714285714287,99,21821.40539512,624097.6253213035,4373741.028321076,637689.3262394553,4358070.688104396,Oroville,Bangor
65,2,7.0,5.0,5.743589743589744,224,19463.781453895175,624574.7230971777,4373988.42268654,637208.6047848483,4387925.605315588,Oroville,Berry Creek
66,2,9.0,1.0,1.0,5,64212.20199634694,622875.161930741,4374212.967428652,650924.247952682,4430167.069125577,Oroville,Butte Meadows
67,2,10.0,38.0,38.38461538461539,1497,11565.173755143185,624344.3965173354,4374239.85248707,622328.3290406006,4384930.94595366,Oroville,Butte Valley
68,2,11.0,1.0,1.3333333333333333,24,14075.008124915068,623504.8620972305,4374146.357892345,625680.6067870752,4388220.131630871,Oroville,Cherokee
69,2,12.0,1.0,1.2666666666666666,19,34767.65950684233,623416.11267043,4373782.478368265,657842.0129437674,4377662.386723264,Oroville,Clipper Mills
70,2,13.0,2.0,3.1,93,48868.118038318156,619969.2471856885,4372837.632722996,599964.8817594674,4417423.710421098,Oroville,Cohasset
71,2,14.0,3.0,2.59375,83,25588.36308916776,624574.5908040117,4374775.776495796,628811.0552493888,4399466.436347467,Oroville,Concow
72,2,15.0,7.0,9.384615384615385,366,23283.976368712974,623384.5353047019,4374318.865134362,605468.982941709,4389235.822277352,Oroville,Durham
73,2,16.0,2.0,2.9523809523809526,62,24094.127831940223,624734.0205228291,4374475.695408306,648431.8034017113,4375498.649237466,Oroville,Forbestown
74,2,17.0,1.0,1.0,10,41478.16252140501,625933.8477884585,4375484.741806468,612911.7818655919,4414761.380602575,Oroville,Forest Ranch
75,2,18.0,3.0,2.8333333333333335,102,19381.366101403408,623417.1111849563,4373800.914589452,625749.3804964032,4354618.9555248525,Oroville,Honcut
76,2,19.0,18.0,18.153846153846153,708,7623.369472689232,624525.7425550733,4373960.753045894,631859.5262051332,4376383.371885732,Oroville,Kelly Ridge
77,2,21.0,2.0,3.875,62,49846.2233173884,623320.0758430369,4373535.297560509,584721.5052691025,4402037.143828155,Oroville,Nord
78,2,22.0,217.0,218.76923076923077,8532,6371.087997711429,624557.0561070746,4374181.777772925,630597.0185986712,4372017.17693754,Oroville,Oroville East
79,2,23.0,57.0,60.38461538461539,2355,7588.819623753554,623382.5616647732,4373885.068791595,624533.563686135,4366394.296718631,Oroville,Palermo
80,2,24.0,107.0,143.28205128205127,5588,14743.392881218197,624312.0418295381,4374459.165362469,637890.8015403633,4368984.628466181,Oroville,Rackerby
81,2,25.0,3.0,3.3823529411764706,115,15672.04403936401,623272.5775757325,4373830.396553357,607758.4186213412,4372737.7408106495,Oroville,Richvale
82,2,26.0,2.0,2.0625,66,19840.53476787023,624528.1413796316,4373739.510309761,644123.3159543787,4371636.283856149,Oroville,Robinson Mill
83,2,27.0,85.0,91.1025641025641,3553,2356.1537713964635,624344.6824191454,4373019.469883086,625005.9291519601,4371346.1232010685,Oroville,South Oroville
84,2,28.0,1.0,1.0,1,56961.978600367256,623091.6382992925,4373119.989462071,646972.2982232543,4424834.4080285095,Oroville,Stirling City
85,2,29.0,183.0,195.7948717948718,7636,3384.102399750958,623416.0780933663,4374146.871880264,620424.8600684028,4373666.622137596,Oroville,Thermalito
86,2,30.0,2.0,2.2413793103448274,65,23339.952604944327,623620.6229394572,4373745.312439807,627705.5367064566,4396495.195505356,Oroville,Yankee Hill
87,2,32.0,2.0,2.5625,82,28742.470495962105,624346.2273369335,4373942.225106711,619751.8412056254,4402065.856373902,Oroville,Paradise
88,2,33.0,1.0,1.3,13,27503.254244371336,623990.7855416439,4374795.605897052,619621.9922279719,4401791.767894765,Oroville,Paradise
89,2,34.0,1.0,1.5625,25,29034.566205314743,624351.9157299005,4373859.31999682,618903.5100974,4402484.350288708,Oroville,Paradise
90,2,35.0,1.0,1.1428571428571428,8,27606.86930171275,623633.5047014402,4375325.569603984,618131.1314405438,4402536.380435829,Oroville,Paradise
91,2,36.0,1.0,1.2857142857142858,9,28992.876161553886,624150.492285334,4374321.166981867,617571.013779296,4402624.122247154,Oroville,Paradise
92,2,37.0,1.0,1.5714285714285714,44,27473.05915675467,624200.9823327987,4375045.333422495,618684.4851755596,4401730.487007262,Oroville,Paradise
93,2,38.0,1.0,1.4166666666666667,34,27707.054158300758,624580.5704476871,4373835.435897374,619105.4846374574,4400794.817996506,Oroville,Paradise
94,2,40.0,1.0,1.0,2,22444.639542199155,621370.5735277715,4377046.188950742,620679.2849026332,4399395.79046285,Oroville,Paradise
95,2,41.0,1.0,1.5,18,32032.89955138004,624097.6253213035,4374791.0903018415,621569.3957410506,4406724.06073056,Oroville,Magalia
96,2,42.0,1.0,1.1538461538461537,15,28987.79544343374,623516.00508118,4374587.649832994,622136.8608529663,4404980.955858836,Oroville,Paradise
97,2,43.0,1.0,1.0,10,28863.308645260844,623588.2134631954,4373332.991513193,616760.5077758555,4401654.468430143,Oroville,Paradise
98,2,44.0,1.0,1.1666666666666667,21,24985.18985678562,624130.4908693063,4374237.26919256,621931.3532410059,4398798.676897134,Oroville,Paradise
99,2,46.0,1.0,1.0555555555555556,19,26378.22897492889,623594.738893198,4373879.151557108,619439.4384362372,4400290.340761558,Oroville,Paradise
100,2,47.0,1.0,1.85,37,28109.903344936116,623851.6479648097,4374459.066407663,622328.4181766028,4401831.201724424,Oroville,Paradise
101,2,48.0,1.0,1.0,4,29219.72781717404,622832.2756218568,4375164.915979331,619201.5600847509,4403989.897497879,Oroville,Paradise
102,2,49.0,1.0,1.7727272727272727,39,30151.36357643417,624097.6253213035,4374791.0903018415,620422.680274881,4404710.20532538,Oroville,Paradise
103,2,50.0,1.0,1.3571428571428572,19,30306.538545808125,624050.4612758028,4373795.618596973,619653.9526027115,4403636.927217343,Oroville,Paradise
104,2,51.0,1.0,1.3333333333333333,8,30892.276275779328,624962.851531453,4373351.810663788,617959.8534770131,4403665.586614095,Oroville,Paradise
