,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT,Lat_from,Lon_from,Lat_to,Lon_to,network_node_id_ori,network_node_id_dest,driving_dist,driving_time,Walk_to_start_time,Walk_from_end_time,In_vehicle_time
0,1,2.0,80.0,79.38461538461539,3096,34902.883328371936,599623.6250839493,4398831.961096088,624097.6260331562,4374563.608841649,Chico,Oroville,39.73356154075391,-121.83741697038555,39.51175291718691,-121.5564384081668,4281494468.0,86370047.0,36569.41499999999,23.145000000000003,0.3691471106557285,2.0167348030803263,
1,1,4.0,11.0,14.897435897435898,581,37814.18309959234,599481.4211625252,4399994.718866583,611584.8015167166,4363708.17452712,Chico,Biggs,39.74405268215879,-121.83890035364105,39.4156797803304,-121.70377212924903,86437377.0,86445476.0,43100.23099999999,26.35833333333333,0.8890296121418336,7.70691430187408,
2,1,5.0,55.0,58.61538461538461,2286,44318.3110692707,599093.8549141221,4400182.561170124,612346.1137317626,4357752.300932692,Chico,Gridley,39.74578998733197,-121.84339467791565,39.361927943054056,-121.69592967399744,86482908.0,86463662.0,49021.79000000001,30.304999999999993,2.2500037584664825,5.1688805139125185,
3,1,6.0,5.0,7.27027027027027,269,60450.19889876668,601596.3974411297,4397622.179554423,643825.0535061134,4356864.687384361,Chico,Bangor,39.72243065896901,-121.81458647194742,39.34926605132878,-121.33085391507207,86595031.0,86370427.0,58933.44799999997,45.61666666666666,3.58410299411081,245.95546192053723,
4,1,7.0,4.0,4.675675675675675,173,38406.896705051855,600699.3351550888,4398245.704364577,638500.834923931,4394169.133531205,Chico,Berry Creek,39.72815396776094,-121.82495584728501,39.686136181099705,-121.38485526767181,86542914.0,86602960.0,75076.78900000003,62.275,4.668753140590396,221.16950746964685,
5,1,9.0,2.0,2.4545454545454546,54,44816.13437047046,597816.1745005901,4401476.2633540165,624253.6365501082,4437922.706284192,Chico,Butte Meadows,39.7575917889202,-121.8581122989235,40.08241981084202,-121.54262592370725,86480330.0,86557752.0,56951.187999999995,39.875,1.968617377607046,314.9630467246252,
6,1,10.0,47.0,49.69230769230769,1938,21666.26299631343,599389.0578907081,4399190.371707396,617850.7031230571,4389699.397854111,Chico,Butte Valley,39.736817613037736,-121.84009966035251,39.64897358106096,-121.62639619283283,86501233.0,10686935542.0,23438.16,15.414999999999997,2.4098270639477266,129.12557770712226,
7,1,11.0,1.0,1.24,31,26344.66301439701,601083.7349688758,4398682.056410747,625338.7852052435,4388237.626029626,Chico,Cherokee,39.73203927924882,-121.8204042418591,39.634742003737585,-121.53942209379387,86418026.0,5222058469.0,35196.651000000005,27.81333333333333,3.467300553137939,138.93006871317453,25.416666666666668
8,1,12.0,2.0,6.285714285714286,88,61049.99753402044,601596.6528280784,4396886.255810876,658127.2028417521,4379201.980398966,Chico,Clipper Mills,39.715801200912104,-121.81469699998097,39.54793781269555,-121.15965847225428,86485853.0,86620640.0,102490.86500000008,87.03166666666665,0.5694087194584171,314.74424696881016,
9,1,13.0,1141.0,1139.179487179487,44428,17419.355694470287,599481.2395831455,4400011.070097019,599964.8817594674,4417423.710421098,Chico,Cohasset,39.74420000091662,-121.83889999998135,39.90100000094173,-121.83059999998068,86437377.0,8447565685.0,21438.586000000003,18.25,1.0376102266209848,125.46307180830449,
